,5010,true
maaf,29,true
bernama,29,true
dokter,29,true
merasakan,29,true
perlu,29,true
kalung,29,true
menggunakan,29,true
kehilangan,29,true
serius,29,true
putus,29,true
anda,29,true
bangunan,29,true
memandangi,29,true
menganggap,29,true
permukaan,29,true
kelapa,29,true
makhluk,29,true
sembilan,29,true
puisi,29,true
buta,29,true
karnaval,29,true
penyakit,29,true
apa-apa,29,true
anaknya,29,true
terbesar,29,true
politik,29,true
de,29,true
apalagi,29,true
seketika,29,true
main,29,true
militer,28,true
portugis,28,true
kemerdekaan,28,true
ucap,28,true
warung,28,true
agustus,28,true
manis,28,true
terkenal,28,true
rapat,28,true
lampu,28,true
nada,28,true
halaman,28,true
hatinya,28,true
berangkat,28,true
sepuluh,28,true
sungguh,28,true
daun,28,true
ekor,28,true
pemain,28,true
tabla,28,true
oh,28,true
kesulitan,28,true
hatiku,28,true
mengucapkan,28,true
perlahan,28,false
bentuk,28,true
jenis,28,true
berkata,28,true
melepaskan,28,true
ustadz,27,true
lo,27,true
angkasa,27,true
membantu,27,true
sadar,27,true
suaranya,27,true
taman,27,true
seakan,27,true
lebar,27,true
kulit,27,true
lukisan,27,true
menjelaskan,27,true
pantai,27,true
ide,27,true
ditemukan,27,true
‘kan,27,true
raksasa,27,true
seekor,27,true
in,27,true
binatang,27,true
eryn,27,true
tertinggi,27,true
memperlihatkan,27,true
kecuali,27,true
kiri,27,true
partai,27,true
lihat,27,true
napas,27,true
hijau,27,true
eri,26,false
bilang,26,true
menyerang,26,true
dikenal,26,true
budaya,26,true
pusat,26,true
menyadari,26,true
sedih,26,true
jalur,26,true
i,26,true
kenyataan,26,true
alasan,26,true
sistem,26,true
terkejut,26,true
kejadian,26,true
melihatnya,26,true
hidupnya,26,true
bidang,26,true
lucu,26,true
ribuan,26,true
badai,26,true
jarak,26,true
ajaib,26,true
sepatu,26,true
bakat,26,true
juri,26,true
mobil,26,true
boleh,26,true
terbuka,26,true
detik,26,true
ketiga,26,true
masyarakat,26,true
lantai,26,true
menurut,26,true
berarti,26,true
segala,26,true
kegiatan,26,true
bermain,26,true
langkah,26,true
bukittinggi,25,true
letusan,25,false
soekarno,25,true
gitu,25,true
lokal,25,true
ekspedisi,25,true
berisi,25,true
berlalu,25,true
membalas,25,true
garis,25,true
asli,25,true
per,25,true
kalimat,25,true
dibuat,25,true
posisi,25,true
the,25,true
kemampuan,25,true
ratusan,25,true
band,25,true
bangun,25,true
seharusnya,25,true
buat,25,true
sebelah,25,true
padahal,25,true
dapur,24,true
india,24,true
padang,24,true
berlangsung,24,true
ayah,24,true
sibuk,24,true
menyebabkan,24,true
tubuhku,24,true
menutup,24,true
soal,24,true
berasal,24,true
bodoh,24,true
sahabat,24,true
gila,24,true
besi,24,true
mulut,24,true
cemas,24,true
susah,24,true
beruntung,24,true
terbaik,24,true
ikal,24,true
tempo,24,true
panggung,24,true
kecerdasan,24,true
-,24,true
memilih,24,true
melirik,24,true
lengan,24,true
level,24,true
dianggap,24,true
pas,24,true
udara,24,true
ketakutan,24,true
pipin,24,false
steady,23,true
tenggara,23,true
awalnya,23,true
tentara,23,true
bukit,23,true
menutupi,23,true
keduanya,23,true
marah,23,true
menghadapi,23,true
ahli,23,true
tanda,23,true
paham,23,true
istimewa,23,true
yakni,23,true
sesuai,23,true
barang,23,true
berbentuk,23,true
maju,23,true
menunduk,23,true
gaya,23,true
berpakaian,23,true
layar,23,true
akal,23,true
sederhana,23,true
membayangkan,23,true
papan,23,true
pengetahuan,23,true
bodenga,23,true
gubuk,23,true
sebesar,23,true
masjid,23,true
berapa,23,true
ayam,23,true
daripada,23,true
smp,23,true
lupa,23,true
hukum,23,true
justru,23,true
buruk,23,true
jepang,23,true
payah,23,true
eyd,22,false
taufik,22,true
mamanya,22,true
sam,22,true
yogyakarta,22,true
teh,22,true
-an,22,true
meninggal,22,true
hamzah,22,true
tradisional,22,true
mendirikan,22,true
pikir,22,true
makanan,22,true
isi,22,true
gelombang,22,true
kasus,22,true
pucat,22,true
menonton,22,true
seru,22,true
mulutnya,22,true
tajam,22,true
cita-cita,22,true
pikiran,22,true
sudut,22,true
minyak,22,true
pinggir,22,true
sendirian,22,true
beban,22,true
dada,22,true
misterius,22,true
dalamnya,22,true
